txn_id,date,account_id,counterparty,description,amount,currency
TXN-B2-0035,2025-03-26,ACC-7202,Hartley Office Supplies Partners Group (Taraz site),Water and sewer charge — Taraz site,-10887098.32,USD
TXN-9131-0024,2025-03-27,ACC-9131,Foxridge Property Associates (Pavlodar block),Parking garage lease — period 01 2024,-5114652.36,USD
TXN-9741-0031,2025-03-27,ACC-9741,Beacon Tax Advisors (Aktobe hub),"Unearned insurance premium return — Shymkent depot, Q4",870183.96,USD
TXN-B3-0010,2025-03-27,ACC-7203,State Revenue Committee Atyrau Office,Corporate income tax settlement for 2024,-684219.35,USD
TXN-B3-0012,2025-03-27,ACC-7203,Foxridge Property Associates Group,Interest true-up charge — Ekibastuz block B 2025,-9872190.56,USD
TXN-X2-0018,2025-03-27,ACC-7831,Kaspi Polymer Distribution LLP,Polymer resin sales settlement first half,16284733.51,USD
TXN-X2-0020,2025-03-27,ACC-7831,Juniper Uniforms Co Partners,Tax audit assessment payment,-8793841.43,USD
TXN-9176-0019,2025-03-28,ACC-9176,Dunmore Janitorial Services (Karaganda yard),Property tax rebate — Q1,13639931.14,USD
TXN-F1-0036,2025-03-28,ACC-7301,Foxridge Uniforms Partners Service Centre (Shymkent depot),"Group medical insurance premium — Almaty office, Q2 2025",-204810.94,USD
TXN-G2-0040,2025-03-28,ACC-7402,Ironwood Courier Co Works (Ekibastuz block B),Utility rebate received — period 03,5205866.77,USD
TXN-H1-0040,2025-03-28,ACC-7501,Foxridge Janitorial Group,"Payroll funding transfer — Oskemen unit, May 2025",-1124540.61,USD
TXN-H2-0037,2025-03-28,ACC-7502,Dunmore Stationery Inc Works (Kyzylorda station),Office rent — Zhezkazgan compound,-3440768.78,USD
TXN-J2-0040,2025-03-28,ACC-7602,Ironwood Utility Solutions Ltd,"Telecom services — Shymkent depot, October 2025",-192132.18,USD
TXN-J6-0011,2025-03-28,ACC-7606,Statewide Tax Authority (Ekibastuz block B),Property tax rebate — Q1,15854556.09,USD
TXN-X1-0002,2025-03-28,ACC-7830,Eastgate Landscaping LP,Sewer discharge levy — instalment 1,-198640.13,USD
TXN-9246-0004,2025-03-29,ACC-9246,Eastgate Security Holdings (Pavlodar block),"Warehouse contents insurance — Karaganda yard, instalment 1",-8003533.72,USD
TXN-9276-0013,2025-03-29,ACC-9276,Juniper Courier Ltd (Uralsk annex),"Interest income on treasury bills — Astana branch, period 04",2869163.35,USD
TXN-9349-0036,2025-03-29,ACC-9349,Cedarville Stationery Ltd,Corporate brand marketing programme — Almaty office,-8567447.65,USD
TXN-9729-0025,2025-03-29,ACC-9729,Juniper Office Supplies LP,Broadband telecom invoice — February,-14563288.82,USD
TXN-S1-0043,2025-03-29,ACC-7001,Glenwood Water Works LLC Supply (Zhezkazgan compound),"Rent deposit returned — Almaty office, October",4746888.51,USD
TXN-9083-0049,2025-03-30,ACC-9083,Eastgate Supply Ltd (Almaty office),"Point-of-sale marketing materials — Taraz site, period 03",-331977.18,USD
TXN-9730-0049,2025-03-30,ACC-9730,Ironwood Courier Co (Astana branch),Property insurance premium — Kostanay centre 2025,-325027.86,USD
TXN-9932-0047,2025-03-30,ACC-9932,Eastgate Landscaping LP Works (Aktobe hub),Payroll top-up transfer — Shymkent depot 2026,-10558215.45,USD
TXN-9934-0008,2025-03-30,ACC-9934,Dunmore Cleaning LP Works (Semey base),"Insurance broker rebate — Kostanay centre, instalment 1 2024",297707093.21,USD
TXN-9987-0028,2025-03-30,ACC-9987,Ashford Property Co,Hourly staff payroll — instalment 2,-14164272.23,USD
TXN-F2-0035,2025-03-30,ACC-7302,Juniper Utility Holdings (Ekibastuz block B),Quarterly estimated tax — Q3,-19823365.29,USD
TXN-G1-0047,2025-03-30,ACC-7401,Kingsley Payroll Trust (Kyzylorda station),Marketing overbilling refund 2024,1205259.83,USD
TXN-J1-0027,2025-03-30,ACC-7601,Bridgeport Supply LP,"Tax audit assessment payment — Astana branch, period 03",-6304895.36,USD
TXN-J4-0046,2025-03-30,ACC-7604,Ashford Supply Group Supply,Social tax remittance — period 01 2025,-7910865.32,USD
TXN-B2-0017,2025-03-31,ACC-7202,Cascade Water Utility Enterprise (Atyrau terminal),"Electricity overbilling refund — Shymkent depot, instalment 2",2349434.88,EUR
TXN-F2-0020,2025-03-31,ACC-7302,Cedarville Courier Holdings Group,Withholding tax reclaim received — Q3,1983808.53,USD
TXN-G1-0007,2025-03-31,ACC-7401,Ashford Security Company (Atyrau terminal),Unearned insurance premium return — Ekibastuz block B,14405921.11,USD
TXN-J2-0056,2025-03-31,ACC-7602,Cedarville Landscaping Partners (Uralsk annex),Payroll overfunding returned — May,10884662.28,USD
TXN-J5-0026,2025-03-31,ACC-7605,Eastgate Facilities Trust Ltd,Payroll bonus disbursement — December,-894753.05,EUR
TXN-KC-REV-24,2025-03-31,TELE-4471,Pan-Caspian Mobile Settlements,Mobile service revenue settlement Q1 2025,176419558.19,USD
TXN-9530-0044,2025-04-01,ACC-9530,Foxridge Catering Partners (Kostanay centre),Insurance claim reimbursement,1285683.87,USD
TXN-9532-0014,2025-04-01,ACC-9532,Kingsley Insurance Associates (Kostanay centre),Payroll for security detail — instalment 3 2026,-258367.07,USD
TXN-9761-0031,2025-04-01,ACC-9761,Dunmore Telecom Partners Holding,Hourly staff payroll — Atyrau terminal,-22432575.89,USD
TXN-9787-0049,2025-04-01,ACC-9787,Stalwart Mutual Insurance Company,"Business interruption insurance — Uralsk annex, August",-6265529.40,USD
TXN-G2-0010,2025-04-01,ACC-7402,Glenwood Maintenance Services Partners (Ekibastuz block B),Interest recovery on overpayment — Turkistan point,3912054.38,USD
TXN-H2-0010,2025-04-01,ACC-7502,Eastgate Consulting Co,Unused ad campaign budget returned — instalment 2,192040255.39,USD
TXN-H3-0019,2025-04-01,ACC-7503,Aktobe Terminal Properties LLP,Terminal warehouse lease payments 2025,-1203558.41,USD
TXN-9559-0041,2025-04-02,ACC-9559,Juniper Janitorial Ltd Service Centre,Interest rebate on early repayment — instalment 2,208107.93,USD
TXN-9845-0046,2025-04-02,ACC-9845,Statewide Tax Authority,Use tax payment — September,-238449.72,USD
TXN-9874-0001,2025-04-02,ACC-9874,Bridgeport Printing Holdings (Taraz site),"Marine cargo insurance premium — Kyzylorda station, period 02",-19072245.98,USD
TXN-9977-0042,2025-04-02,ACC-9977,Eastgate Payroll Co,"Interest on escrow balance — Almaty office, October 2026",403025.97,USD
TXN-G3-0006,2025-04-02,ACC-7403,Hartley Maintenance Partners (Kyzylorda station),Water charge adjustment credit — Aktobe hub,3661777.80,USD
TXN-J2-0022,2025-04-02,ACC-7602,Hartley Cleaning Inc Ltd (Ekibastuz block B),"Marine cargo insurance premium — Semey base, instalment 3 2024",-16485228.68,USD
TXN-J3-0002,2025-04-02,ACC-7603,Dunmore Insurance LP (Taraz site),Interest on overdraft sweep — Q2 2024,-11503430.32,USD
TXN-J4-0035,2025-04-02,ACC-7604,Ashford Telecom Solutions Group,Insurance broker rebate — Ekibastuz block B 2026,251686778.52,USD
TXN-J6-0052,2025-04-02,ACC-7606,Ironwood Courier Co (Oskemen unit),Environmental emissions tax — August 2024,-2127650.48,USD
TXN-9474-0039,2025-04-03,ACC-9474,Glenwood Building Services Solutions Enterprise (Semey base),Plant and boiler insurance premium — Q4,-4221562.09,USD
TXN-B5-0025,2025-04-03,ACC-7205,Hartley Facilities Services (Karaganda yard),Payroll top-up transfer — Uralsk annex,-5918449.62,EUR
TXN-H4-0017,2025-04-03,ACC-7504,Cedarville Printing Services Partners,Electricity network capacity charge 2026,-26832218.57,USD
TXN-H5-0009,2025-04-03,ACC-7505,Cedarville Power Co (Shymkent depot),Contractor payroll batch — Atyrau terminal,-346810.04,USD
TXN-H5-0043,2025-04-03,ACC-7505,Semey Industrial Properties LLP,Factory premises lease payments 2025,-842116.29,USD
TXN-J3-0052,2025-04-03,ACC-7603,Cedarville Office Supplies Associates,Municipal tax levy,-1938723.26,USD
TXN-KC-REV-04,2025-04-03,TELE-4471,Hartley Payroll LLC Trading House,Default interest charge — Ekibastuz block B 2025,-266515.03,USD
TXN-S2-0013,2025-04-03,ACC-7002,Cascade Water Utility JSC,"Rent deposit returned — Zhezkazgan compound, Q4 2025",271142.92,USD
TXN-S2-0028,2025-04-03,ACC-7002,Foxridge Power LLC (Kostanay centre),Property tax rebate — Atyrau terminal,2568141.95,EUR
TXN-X1-0040,2025-04-03,ACC-7830,Cedarville Power Co JSC,"Water supply charge — Astana branch, period 02",-437857.74,USD
TXN-G1-0005,2025-04-04,ACC-7401,Bridgeport Office Supplies,"Sublet rent received — Uralsk annex, final call",4893411.58,USD
TXN-G1-0013,2025-04-04,ACC-7401,Cedarville Printing Services (Ekibastuz block B),"Telecom mobile fleet plan — Turkistan point, Q2 2024",-739299.79,USD
TXN-G2-0034,2025-04-04,ACC-7402,Juniper Security Corp,"Tax assessment reversal — Kostanay centre, instalment 1 2024",290125187.52,USD
TXN-J1-0057,2025-04-04,ACC-7601,Lakeshore Insurance Brokers Supply (Astana branch),"Use tax payment — Shymkent depot, period 03",-14117176.28,USD
TXN-J2-0011,2025-04-04,ACC-7602,Juniper Uniforms Co Company,Radio ad campaign schedule — Uralsk annex 2024,-2752306.06,USD
TXN-J3-0023,2025-04-04,ACC-7603,Cedarville Utility Ltd (Astana branch),Interest income on term deposit — Karaganda yard 2025,2112532.11,USD
TXN-J6-0038,2025-04-04,ACC-7606,Foxridge Payroll Ltd Group (Shymkent depot),Workers comp insurance — instalment 3,-2236811.86,USD
TXN-9216-0042,2025-04-05,ACC-9216,Dunmore Power Ltd Partners,Rent for staff dormitory 2026,-21155887.31,USD
TXN-9340-0011,2025-04-05,ACC-9340,Juniper Telecom Inc Holding,Lease incentive received — instalment 1,250832.43,USD
TXN-9617-0031,2025-04-05,ACC-9617,Dunmore Stationery Inc (Zhezkazgan compound),Payroll top-up transfer — Atyrau terminal,-17240641.41,USD
TXN-9862-0023,2025-04-05,ACC-9862,Glenwood Logistics JSC,"Digital media buy — display — Astana branch, September 2024",-1383033.24,USD
TXN-G1-0029,2025-04-05,ACC-7401,Cedarville Property Inc (Atyrau terminal),"Revolver interest — Ekibastuz block B, September 2024",-617412.08,USD
TXN-H4-0053,2025-04-05,ACC-7504,Eastgate Property (Turkistan point),"Hourly staff payroll — Ekibastuz block B, instalment 2 2025",-4422649.48,USD
TXN-J1-0045,2025-04-05,ACC-7601,Cedarville Waste Systems Inc,Vehicle livery marketing application — April,-2690304.34,USD
TXN-S1-0008,2025-04-05,ACC-7001,Ashford Realty Ltd Enterprise (Ekibastuz block B),Antenna mast lease — June,-629405.24,USD
TXN-9763-0027,2025-04-06,ACC-9763,Kingsley Payroll Trust Enterprise (Taraz site),Directors and officers insurance — Zhezkazgan compound,-12114413.64,USD
TXN-B5-0028,2025-04-06,ACC-7205,Bridgeport Courier Solutions Enterprise (Zhezkazgan compound),"Water supply charge — Semey base, March 2024",-3288133.99,USD
TXN-J6-0024,2025-04-06,ACC-7606,Cedarville Security Trust (Zhezkazgan compound),Payroll advance recovered from staff — Kyzylorda station 2025,4792677.68,USD
TXN-S3-0058,2025-04-06,ACC-7003,Glenwood Utility Associates,Industry exhibition stand marketing,-19091950.47,USD
TXN-9244-0003,2025-04-07,ACC-9244,Glenwood Water Works LLC (Atyrau terminal),Marketing overbilling refund — Uralsk annex 2024,24773216.07,USD
TXN-9324-0045,2025-04-07,ACC-9324,Fairfield Leasing Partners Holding (Astana branch),Unused ad campaign budget returned 2025,1919114.16,USD
TXN-9586-0024,2025-04-07,ACC-9586,Eastgate Leasing Trust,"Lease incentive received — Kostanay centre, February 2024",10221656.75,USD
TXN-J4-0015,2025-04-07,ACC-7604,Lakeshore Insurance Brokers Company,Interest recovery on overpayment — instalment 3,309642.53,USD
TXN-J4-0043,2025-04-07,ACC-7604,Ashford Power LP Company,Monthly payroll disbursement 2025,-1355456.70,USD
TXN-J6-0046,2025-04-07,ACC-7606,Juniper Landscaping LLC (Zhezkazgan compound),Payroll funding transfer — instalment 3,-10715596.77,USD
TXN-X1-0011,2025-04-07,ACC-7830,Sentinel Insurance Group Group (Atyrau terminal),"Quarterly estimated tax — Turkistan point, April",-1678628.84,USD
TXN-9686-0036,2025-04-08,ACC-9686,Cascade Water Utility Company,Payroll for administrative staff — Atyrau terminal 2024,-17449482.85,USD
TXN-B2-0009,2025-04-08,ACC-7202,Ashford Supply Group Company,Corporate income tax instalment — Almaty office 2025,-460666.66,USD
TXN-B3-0024,2025-04-08,ACC-7203,Eastgate Property Trading House,Electricity overbilling refund — February,1929992.42,USD
TXN-H5-0045,2025-04-08,ACC-7505,Cedarville Uniforms Solutions Service Centre (Oskemen unit),"Excise tax payment — Zhezkazgan compound, period 02",-325460.42,USD
TXN-J4-0024,2025-04-08,ACC-7604,Dunmore Courier Services LLP,"Marketing volume rebate — Pavlodar block, period 02",6226354.91,USD
TXN-KC-FIN-35,2025-04-08,TELE-4471,Bridgeport Insurance Partners Works,Franchise tax filing — December 2025,-127576.81,USD
TXN-KC-FIN-45,2025-04-08,TELE-4471,Foxridge Waste Systems Associates Company,Rent for archive premises — August,-9341552.66,USD
TXN-9283-0027,2025-04-09,ACC-9283,Ironwood Leasing Partners (Semey base),Withholding tax reclaim received — December,3487443.26,USD
TXN-9897-0023,2025-04-09,ACC-9897,Dunmore Stationery Inc (Astana branch),"Telecom services — Kyzylorda station, October",-3143836.83,USD
TXN-B3-0045,2025-04-09,ACC-7203,Atyrau Management Services LLP,Ordinary-course management advisory fees,-203570.27,USD
TXN-F3-0021,2025-04-09,ACC-7303,Eastgate Utility LLC Works (Oskemen unit),District heating utility charge — Taraz site,-298031.30,USD
TXN-G3-0029,2025-04-09,ACC-7403,Dunmore Logistics Ltd,"Outdoor marketing site hire — Kostanay centre, period 03",-172681.11,USD
TXN-J3-0036,2025-04-09,ACC-7603,Eastgate Utility LLC LLP,Marketing volume rebate — instalment 2,203874.58,USD
TXN-J3-0068,2025-04-09,ACC-7603,Ashford Janitorial Trust (Almaty office),"Excise tax payment — Taraz site, Q3 2024",-3750441.92,EUR
TXN-J4-0026,2025-04-09,ACC-7604,Oskemen Plant Services LLP,Smelter servicing and furnace maintenance H1,-5926340.59,USD
TXN-X3-0021,2025-04-09,ACC-7832,KEGOC Grid Settlements LLP,Power dispatch sales settlement first half,19845206.74,USD
TXN-9150-0014,2025-04-10,ACC-9150,Dunmore Consulting Corp Company,Travel insurance for staff — Astana branch,-566933.84,USD
TXN-9745-0028,2025-04-10,ACC-9745,Bridgeport Property Ltd Service Centre,Water supply charge — Semey base,-1583562.01,USD
TXN-G2-0019,2025-04-10,ACC-7402,Lakeshore Insurance Brokers,Payroll top-up transfer — Uralsk annex 2024,-912609.92,USD
TXN-KC-OPX-08,2025-04-10,TELE-4471,FieldOps Network Services,Network operations and maintenance — full year,-202938950.99,USD
TXN-S3-0031,2025-04-10,ACC-7003,Harborview Properties Partners (Ekibastuz block B),"Cold store lease — Atyrau terminal, July",-2835457.36,USD
TXN-9038-0021,2025-04-11,ACC-9038,Glenwood Power (Karaganda yard),"Sublet rent received — Aktobe hub, Q3",9057016.70,USD
TXN-9103-0036,2025-04-11,ACC-9103,Bridgeport Janitorial Solutions (Astana branch),Point-of-sale marketing materials — Shymkent depot,-339084265.70,USD
TXN-9985-0036,2025-04-11,ACC-9985,Sterling Office Solutions,"Sewer discharge levy — Semey base, H2",-928273.69,USD
TXN-B5-0035,2025-04-11,ACC-7205,State Revenue Committee Qyzylorda Office,Corporate income tax settlement for 2024,-1127458.29,USD
TXN-F1-0030,2025-04-11,ACC-7301,Juniper Office Supplies LP Ltd,Marine cargo insurance premium — period 02,-2723703.21,USD
TXN-F3-0025,2025-04-11,ACC-7303,Ashford Payroll Partners JSC (Ekibastuz block B),Interest on trade facility — Taraz site,-4190625.97,USD
TXN-G2-0016,2025-04-11,ACC-7402,Hartley Power Associates Ltd,"Utility metering charge — Almaty office, period 01",-247346.05,USD
TXN-F1-0016,2025-04-12,ACC-7301,Ural Process Engineering LLP,Purchase of reactor vessel equipment,-1568051.22,USD
TXN-G1-0004,2025-04-12,ACC-7401,Juniper Consulting Associates,Interest on escrow balance — Oskemen unit 2026,1932339.14,USD
TXN-J1-0032,2025-04-12,ACC-7601,Juniper Payroll Associates (Shymkent depot),"Trade press marketing insertion — Atyrau terminal, period 03",-307938.49,USD
TXN-9227-0048,2025-04-13,ACC-9227,Ashford Leasing Inc (Almaty office),Marketing translation and localisation — Ekibastuz block B 2026,-12516031.45,USD
TXN-9433-0035,2025-04-13,ACC-9433,Beacon Tax Advisors Ltd,Withholding tax reclaim received — H1,3393589.73,USD
TXN-9743-0003,2025-04-13,ACC-9743,Foxridge Facilities Solutions (Pavlodar block),Rent for spare parts store 2024,-1760942.34,USD
TXN-9926-0049,2025-04-13,ACC-9926,Oakmont Property Management (Aktobe hub),Quarterly estimated tax — Astana branch,-185860.03,USD
TXN-H1-0002,2025-04-13,ACC-7501,Glenwood Building Services Solutions (Shymkent depot),Rent for archive premises — February,-431945.03,USD
TXN-H1-0029,2025-04-13,ACC-7501,Hartley Catering LP (Kostanay centre),"Executive payroll run — Shymkent depot, December",-180472.21,USD
TXN-H5-0057,2025-04-13,ACC-7505,Metro Waste Management (Karaganda yard),"Tax audit assessment payment — Ekibastuz block B, July 2026",-369454.74,USD
TXN-9043-0045,2025-04-14,ACC-9043,Ashford Utility Corp (Atyrau terminal),Default interest charge — Uralsk annex,-7813375.49,USD
TXN-9118-0013,2025-04-14,ACC-9118,Bridgeport Landscaping Services LLP,"Lease deposit released — Turkistan point, H2 2025",481345.66,USD
TXN-9509-0040,2025-04-14,ACC-9509,Glenwood Supply LLC (Ekibastuz block B),Insurance premium refund — Astana branch 2026,4612308.26,USD
TXN-G3-0039,2025-04-14,ACC-7403,Hartley Printing Co (Turkistan point),Marketing volume rebate — Q1,657238.10,USD
TXN-H1-0023,2025-04-14,ACC-7501,Trident Power Cooperative Enterprise,"Directors and officers insurance — Ekibastuz block B, June",-458769.24,EUR
TXN-X1-0077,2025-04-14,ACC-7830,Oakmont Property Management (Uralsk annex),"Insurance claim reimbursement — Uralsk annex, H1 2026",278951.75,USD
TXN-X3-0002,2025-04-14,ACC-7832,Dunmore Janitorial Services Works,Rent for spare parts store — January,-7341046.82,USD
TXN-9218-0048,2025-04-15,ACC-9218,Glenwood Janitorial LP (Atyrau terminal),"Radio ad campaign schedule — Almaty office, April",-214576138.90,USD
TXN-9471-0013,2025-04-15,ACC-9471,Cedarville Payroll LP Enterprise (Turkistan point),"Interest on finance sublease — Almaty office, period 04 2024",-440990.17,USD
TXN-9862-0050,2025-04-15,ACC-9862,Bridgeport Landscaping Services JSC,Professional indemnity insurance — Ekibastuz block B,-233053.78,USD
TXN-J1-0047,2025-04-15,ACC-7601,Kazakh Industrial Systems LLP,Cold storage equipment purchase,-1292795.26,USD
TXN-G2-0026,2025-04-16,ACC-7402,Glenwood Facilities Holdings (Pavlodar block),Fidelity bond insurance — July,-31254916.77,USD
TXN-J3-0014,2025-04-16,ACC-7603,Hartley Maintenance Partners,"Interest income on treasury bills — Astana branch, December",468172.96,USD
TXN-S3-0044,2025-04-16,ACC-7003,Cedarville Printing Services Ltd,Rent free period credit — period 04,212793.01,EUR
TXN-X2-0031,2025-04-16,ACC-7831,Aktobe Utilities Services LLP,Plant operating and maintenance costs 2025,-18663412.09,USD
TXN-9542-0017,2025-04-17,ACC-9542,Juniper Realty Partners,Marketing co-operative funding received — Uralsk annex 2025,2437226.71,USD
TXN-9978-0003,2025-04-17,ACC-9978,Ironwood Power Trust (Ekibastuz block B),"Rooftop lease — Pavlodar block, February",-4508812.80,EUR
TXN-B2-0016,2025-04-17,ACC-7202,Lakeshore Insurance Brokers (Zhezkazgan compound),Payroll overfunding returned — Zhezkazgan compound,8673898.02,USD
TXN-B3-0011,2025-04-17,ACC-7203,Statewide Tax Authority (Kostanay centre),Term loan interest — Ekibastuz block B 2024,-3549265.16,USD
TXN-B5-0038,2025-04-17,ACC-7205,Bridgeport Security Associates (Turkistan point),Payroll for security detail — Zhezkazgan compound,-177492.81,USD
TXN-F1-0008,2025-04-17,ACC-7301,Initech Software Licenses,"Political risk insurance — Taraz site, December",-24601709.40,USD
TXN-G2-0017,2025-04-17,ACC-7402,Semey Logistics Assets LLP,Intra-group transfer of warehouse equipment,-1180442.55,USD
TXN-H5-0017,2025-04-17,ACC-7505,Kingsley Facilities LP Service Centre (Uralsk annex),Vehicle tax payment — December,-159555.77,USD
TXN-9373-0021,2025-04-18,ACC-9373,Cedarville Janitorial Holdings (Oskemen unit),"Interest on overdraft sweep — Karaganda yard, instalment 1",-448916.70,USD
TXN-9814-0045,2025-04-18,ACC-9814,Ashford Waste Systems Co LLP,Electricity metering correction credit — instalment 2,269023291.13,USD
TXN-B2-0024,2025-04-18,ACC-7202,Caspian Emergency Works LLP,Emergency flood damage maintenance works,-984918.94,USD
TXN-B2-0039,2025-04-18,ACC-7202,Cascade Water Utility Supply (Zhezkazgan compound),"Insurance deductible recovery — Zhezkazgan compound, Q4",9561865.70,USD
TXN-J1-0075,2025-04-18,ACC-7601,Ironwood Telecom Ltd (Karaganda yard),Plant and boiler insurance premium 2024,-16594153.49,EUR
TXN-J3-0045,2025-04-18,ACC-7603,Otyrar Legal Consulting LLP,Legal and consulting fees 2025,-250000.04,USD
TXN-J5-0030,2025-04-18,ACC-7605,Bridgeport Catering Trust Supply,Vehicle livery marketing application,-2709685.81,USD
TXN-S1-0022,2025-04-18,ACC-7001,Tselina Materials Handling LLP,Purchase of warehouse forklift fleet and racking equipment,-1750207.59,USD
TXN-X1-0043,2025-04-18,ACC-7830,Eastgate Property Service Centre,Cold store lease — period 03 2024,-151030.13,USD
TXN-X1-0084,2025-04-18,ACC-7830,Cedarville Power Co (Atyrau terminal),Interest on bilateral facility — Atyrau terminal 2024,-711723.12,USD
TXN-X2-0051,2025-04-18,ACC-7831,Bridgeport Cleaning Partners (Karaganda yard),Rent free period credit 2024,11415327.57,USD
TXN-9112-0020,2025-04-19,ACC-9112,Bridgeport Courier Solutions (Kyzylorda station),"Industry exhibition stand marketing — Uralsk annex, December",-473627.11,USD
TXN-9886-0044,2025-04-19,ACC-9886,Ashford Uniforms Associates (Taraz site),"Telecom mobile fleet plan — Ekibastuz block B, September",-544231.38,USD
TXN-G3-0024,2025-04-19,ACC-7403,Eastgate Water Works Ltd (Pavlodar block),"Excise tax remittance — Uralsk annex, instalment 2",-1452614.89,USD
TXN-J3-0018,2025-04-19,ACC-7603,Glenwood Logistics (Kostanay centre),Advance profit tax instalment — September,-1699645.06,USD
TXN-KC-CAP-19,2025-04-19,TELE-4471,Hartley Consulting LLC (Taraz site),VAT refund received — July 2024,1747927.15,USD
TXN-X1-0061,2025-04-19,ACC-7830,Eastgate Janitorial Partners (Ekibastuz block B),Cyber insurance premium — March,-192840.12,USD
TXN-X2-0071,2025-04-19,ACC-7831,Ashford Cleaning Services (Taraz site),Electricity for pumping station — Astana branch 2026,-5476691.28,EUR
TXN-X2-0083,2025-04-19,ACC-7831,Bridgeport Stationery Co (Pavlodar block),"Broadband telecom invoice — Turkistan point, instalment 2 2025",-15355931.99,USD
TXN-J2-0050,2025-04-20,ACC-7602,Foxridge Tax Advisory Corp (Aktobe hub),"Unearned insurance premium return — Aktobe hub, July 2026",1221466.40,USD
TXN-S2-0047,2025-04-20,ACC-7002,Foxridge Security Services (Kyzylorda station),Interest on escrow balance — Atyrau terminal,3194798.20,USD
TXN-X3-0004,2025-04-20,ACC-7832,Bridgeport Facilities LLC Company,Rent for regional office — period 01 2026,-2525075.26,USD
TXN-9026-0015,2025-04-21,ACC-9026,Ashford Stationery Corp,Liability insurance 2026,-9552885.74,USD
TXN-9569-0022,2025-04-21,ACC-9569,Dunmore Logistics Ltd Ltd,Group insurance experience refund — Almaty office,2932939.99,USD
TXN-S2-0041,2025-04-21,ACC-7002,Glenwood Uniforms Group Enterprise,Storage unit rent — June,-7275208.22,USD
TXN-9233-0044,2025-04-22,ACC-9233,Eastgate Tax Advisory LP,Storage unit rent — instalment 1 2024,-1533716.01,USD
TXN-9338-0050,2025-04-22,ACC-9338,Ironwood Facilities Partners,Payroll advance recovered from staff — Almaty office,275185.15,USD
TXN-9491-0005,2025-04-22,ACC-9491,Eastgate Waste Systems,Insurance premium refund — Ekibastuz block B,1357306.30,USD
TXN-9946-0007,2025-04-22,ACC-9946,Cedarville Insurance Group JSC,Social tax remittance — instalment 1,-6913975.28,USD
TXN-F2-0063,2025-04-22,ACC-7302,Ironwood Insurance LLC Works,Term loan interest — May 2025,-17668504.79,USD
TXN-H3-0020,2025-04-22,ACC-7503,Cedarville Office Supplies Associates (Oskemen unit),"Unclaimed payroll returned — Semey base, January",2683182.77,EUR
TXN-H3-0053,2025-04-22,ACC-7503,Bridgeport Cleaning Partners,Electricity overbilling refund — November,14761181.73,USD
TXN-J2-0044,2025-04-22,ACC-7602,Cedarville Security Trust Holding,Cold store lease — Semey base 2025,-410110.67,USD
TXN-J6-0017,2025-04-22,ACC-7606,Kazakh Industrial Systems LLP,Pipeline metering equipment purchase 2025,-2551757.64,USD
TXN-X1-0055,2025-04-22,ACC-7830,Turgai Capital Partners LLP,Management advisory retainer,-641882.35,USD
TXN-X3-0042,2025-04-22,ACC-7832,Juniper Janitorial Ltd (Aktobe hub),"Electricity metering correction credit — Shymkent depot, September",2394002.85,USD
TXN-9010-0007,2025-04-23,ACC-9010,Dunmore Logistics Ltd Service Centre,Printed marketing collateral run — March,-1088000.82,USD
TXN-9459-0018,2025-04-23,ACC-9459,Juniper Payroll Associates (Pavlodar block),Payroll tranche for field crew — January 2025,-792226.68,USD
TXN-B2-0056,2025-04-23,ACC-7202,Eastgate Power Inc (Turkistan point),"Sewer discharge levy — Oskemen unit, Q3 2026",-5185046.88,USD
TXN-KC-FIN-48,2025-04-23,TELE-4471,Foxridge Printing LP (Kostanay centre),Digital media buy — search — April,-11180117.34,USD
TXN-S2-0040,2025-04-23,ACC-7002,Glenwood Water Works LLC Enterprise,Term loan interest — instalment 3,-198764.58,USD
TXN-S3-0028,2025-04-23,ACC-7003,Ashford Stationery Corp Ltd,Insurance deductible recovery — Q2 2025,1631258.40,EUR
TXN-F2-0038,2025-04-24,ACC-7302,Juniper Logistics Solutions (Almaty office),"Municipal tax levy — Aktobe hub, March",-9615497.97,USD
TXN-J6-0004,2025-04-24,ACC-7606,Eastgate Stationery LLC,"Excise tax payment — Oskemen unit, March",-31578847.44,USD
TXN-S2-0008,2025-04-24,ACC-7002,Dunmore Courier Services,Electricity for site lighting — August 2026,-2328791.64,USD
TXN-9493-0041,2025-04-25,ACC-9493,Eastgate Consulting Co Works,Advance profit tax instalment 2025,-2153779.06,USD
TXN-F2-0039,2025-04-25,ACC-7302,Blue Ridge Payroll Services (Shymkent depot),Insurance claim reimbursement — Atyrau terminal 2025,1411642.67,USD
TXN-F2-0047,2025-04-25,ACC-7302,Eastgate Courier Partners,Franchise tax filing — period 02 2025,-419681.40,USD
TXN-G3-0005,2025-04-25,ACC-7403,Juniper Uniforms Co LLP,"Unearned insurance premium return — Shymkent depot, Q4",1900280.75,USD
TXN-S3-0010,2025-04-25,ACC-7003,Ishim Mechanical Services LLP,Conveyor belt maintenance servicing,-512537.05,USD
TXN-X3-0008,2025-04-25,ACC-7832,Foxridge Waste Systems Associates (Astana branch),"Fidelity bond insurance — Aktobe hub, Q3 2025",-355679.46,USD
TXN-9002-0016,2025-04-26,ACC-9002,Juniper Printing Inc (Oskemen unit),"Industry exhibition stand marketing — Oskemen unit, period 02",-364296090.15,USD
TXN-9009-0023,2025-04-26,ACC-9009,Eastgate Janitorial Partners,Waste water charge — Taraz site 2024,-2999479.61,USD
